theta,phi,polarization,X1,X2,Y1,Y2,Z1,Z2
0,0,TE,0.0064287702524094435,-0.013414301936428038,-0.0046466875138470925,-0.000582864740741501,-1.5040995399621002,-1.488409326134125
0,0,TM,-0.002423650992548748,0.004813839578330058,0.013020674956138754,0.0016002304388675892,-1.4937008362363329,-1.489623207909903
10,0,TE,0.006638504778714795,-0.013504803146071354,-0.004708736152123186,-0.0005209334681858191,-1.5043784027735025,-1.4885166465415984
10,0,TM,-0.002522219269962767,0.004822439278499701,0.013085591079172225,0.0015536329120740902,-1.4937601952036428,-1.4896814619196859
20,0,TE,0.006922350006065022,-0.013482194042022404,-0.004712622235820033,-0.0004884220613969544,-1.504642285628927,-1.4885579097011612
20,0,TM,-0.002616312393896227,0.004838552484952938,0.013135391249303414,0.001451181796450545,-1.4938054667119938,-1.4896872172322668
30,0,TE,0.007491877841579745,-0.013531265492273126,-0.0047023796680395,-0.0004394483005137764,-1.5052483922186117,-1.4885902469579013
30,0,TM,-0.002766527667407904,0.004875079166369897,0.013221646364430857,0.0013693944269608125,-1.4939219295342563,-1.4898266211706768
40,0,TE,0.008171999803593727,-0.01362790180363734,-0.00479230109735213,-0.0004389898373493318,-1.506123535489894,-1.4887829829735624
40,0,TM,-0.003059239822221314,0.004938651755600197,0.013431508964239275,0.00134909633597371,-1.4939593169965761,-1.4899962851637307
50,0,TE,0.009073196325542763,-0.013885858388512962,-0.004970027798810648,-0.0004925420817215472,-1.50743888244314,-1.4890689203950411
50,0,TM,-0.0032715608670960605,0.0049560712830657916,0.013312395602914555,0.0010295096889619002,-1.4941041017900036,-1.4901773083759402
60,0,TE,0.009708795121811364,-0.013824950921352157,-0.0049862063831701865,-0.00048276157098828574,-1.5080619804818238,-1.4891472897239402
60,0,TM,-0.0037157289608043425,0.004883935387020017,0.013505531424175715,0.0010616174690236816,-1.4940700395910818,-1.490362954145664
70,0,TE,0.01075800499026643,-0.013343571880998287,-0.004986771020610423,-0.0003916402433316858,-1.508601914965559,-1.4892173333896757
70,0,TM,-0.0039485800007036265,0.004817178532618264,0.013500518834120968,0.0008251741692126805,-1.4941777413440807,-1.490410778449073
80,0,TE,0.011746017893190025,-0.012908650288453236,-0.005075633703882532,-0.0003796308644715004,-1.5091613421912529,-1.4893294132899078
80,0,TM,-0.004215322048241853,0.004743864535245194,0.01355652538866731,0.0007822519751041458,-1.4941870049460626,-1.4905193582200937
90,0,TE,0.012629307289391602,-0.012629307289391583,-0.005215121444541887,-0.0004784396439813592,-1.5099541129818839,-1.4895590203930256
90,0,TM,-0.00449257966010714,0.004492579660107118,0.01355172285154505,0.0009154400879584998,-1.4940637000652681,-1.4905604517746744
