beta_deg,top,top_norm,bottom,bottom_norm,left,left_norm,right,right_norm,front,front_norm,back,back_norm,total_flux
0.0,0.14784065119842382,1.0,-1.0528569560359213,-1.0528569560359213,-0.5119032827108558,-0.5119032827108558,-0.9869683117967187,-0.9869683117967187,-0.5252066447322408,-0.5252066447322408,-0.8293028778589866,-0.8293028778589866,-3.7583974219362997
10.0,0.14308623420097033,0.9678409357716345,-1.068980830244517,-1.068980830244517,-0.4839688947299843,-0.4839688947299843,-1.0067271378004805,-1.0067271378004805,-0.5478870972490792,-0.5478870972490792,-0.831883446248022,-0.831883446248022,-3.7963611720711126
20.0,0.1273668042762276,0.8615140913122918,-1.077870927797489,-1.077870927797489,-0.4455798781981777,-0.4455798781981777,-1.0264960116270552,-1.0264960116270552,-0.5494023656193052,-0.5494023656193052,-0.8162582839955554,-0.8162582839955554,-3.7882406629613548
29.999999999999996,0.10257835666719983,0.6938440532808845,-1.0784549717261016,-1.0784549717261016,-0.40136651507074284,-0.40136651507074284,-1.0438905153354385,-1.0438905153354385,-0.5295696861145256,-0.5295696861145256,-0.7843120162720458,-0.7843120162720458,-3.735015347851655
40.0,0.07171074399405608,0.4850543028101909,-1.0706625177129876,-1.0706625177129876,-0.3566615894605798,-0.3566615894605798,-1.0568126150628974,-1.0568126150628974,-0.4907811725821736,-0.4907811725821736,-0.7398978344416767,-0.7398978344416767,-3.643104985266259
50.0,0.03848705590262591,0.26032796521553897,-1.055433450716504,-1.055433450716504,-0.3168571751706857,-0.3168571751706857,-1.0637037148724011,-1.0637037148724011,-0.43771529221173466,-0.43771529221173466,-0.6883727443166796,-0.6883727443166796,-3.523595321385379
59.99999999999999,0.0069145595061472775,0.04677035341833637,-1.0346046209735151,-1.0346046209735151,-0.28675427201505865,-0.28675427201505865,-1.063732646425116,-1.063732646425116,-0.3767725733448355,-0.3767725733448355,-0.6359514321954687,-0.6359514321954687,-3.3909009854478467
70.0,-0.019198636169540095,-0.12986033282397216,-1.010688292751813,-1.010688292751813,-0.26998373438576184,-0.26998373438576184,-1.0568959201488264,-1.0568959201488264,-0.3153036072956139,-0.3153036072956139,-0.5889566819760579,-0.5889566819760579,-3.261026872727613
80.0,-0.03670289433622931,-0.24825982595929347,-0.9865691282023485,-0.9865691282023485,-0.2685683366276752,-0.2685683366276752,-1.044018146131756,-1.044018146131756,-0.2607224585549419,-0.2607224585549419,-0.5530567541035243,-0.5530567541035243,-3.149637717956475
90.0,-0.04348694312367851,-0.29414739972507736,-0.9651562545307439,-0.9651562545307439,-0.2826787965994928,-0.2826787965994928,-1.026652573976087,-1.026652573976087,-0.21961241919284902,-0.21961241919284902,-0.5325817097058274,-0.5325817097058274,-3.0701686971286786
