(0.305906,0)
(-0.204893,0)
(0.18908,0)
(-0.144444,0)
(0.0462569,0)
(-0.0453951,0)
(-0.0540828,0)
(0.0836679,0)
(-0.0497437,0)
(0.224631,0)
(0.0783215,0)
(0.353682,0)
(0.291437,0)
(0.450863,0)
(0.518416,0)
(0.508758,0)
(0.698809,0)
(0.533843,0)
(0.806515,0)
(0.540197,0)
(0.151058,0)
(-0.344735,0)
(0.0933684,0)
(-0.243028,0)
(0.0228419,0)
(-0.0763776,0)
(-0.0267063,0)
(0.140772,0)
(-0.0245637,0)
(0.377943,0)
(0.0386755,0)
(0.595072,0)
(0.143913,0)
(0.75858,0)
(0.255996,0)
(0.855989,0)
(0.345075,0)
(0.898194,0)
(0.398261,0)
(0.908886,0)
(-0.0517501,0)
(-0.375125,0)
(-0.0319866,0)
(-0.264453,0)
(-0.00782528,0)
(-0.0831108,0)
(0.00914918,0)
(0.153182,0)
(0.00841513,0)
(0.411261,0)
(-0.0132496,0)
(0.647531,0)
(-0.0493024,0)
(0.825453,0)
(-0.0877005,0)
(0.93145,0)
(-0.118217,0)
(0.977376,0)
(-0.136438,0)
(0.989009,0)
(-0.238128,0)
(-0.286416,0)
(-0.147186,0)
(-0.201915,0)
(-0.036008,0)
(-0.0634568,0)
(0.0420999,0)
(0.116957,0)
(0.0387222,0)
(0.314006,0)
(-0.0609682,0)
(0.494404,0)
(-0.226865,0)
(0.630251,0)
(-0.403553,0)
(0.711182,0)
(-0.543977,0)
(0.746247,0)
(-0.627819,0)
(0.75513,0)
(-0.348902,0)
(-0.106772,0)
(-0.215655,0)
(-0.0752711,0)
(-0.0527584,0)
(-0.0236558,0)
(0.0616842,0)
(0.0436,0)
(0.0567352,0)
(0.117057,0)
(-0.0893297,0)
(0.184307,0)
(-0.332399,0)
(0.234948,0)
(-0.59128,0)
(0.265118,0)
(-0.797028,0)
(0.27819,0)
(-0.919872,0)
(0.281501,0)
(-0.348902,0)
(0.106772,0)
(-0.215655,0)
(0.0752711,0)
(-0.0527584,0)
(0.0236558,0)
(0.0616842,0)
(-0.0436,0)
(0.0567352,0)
(-0.117057,0)
(-0.0893297,0)
(-0.184307,0)
(-0.332399,0)
(-0.234948,0)
(-0.59128,0)
(-0.265118,0)
(-0.797028,0)
(-0.27819,0)
(-0.919872,0)
(-0.281501,0)
(-0.238128,0)
(0.286416,0)
(-0.147186,0)
(0.201915,0)
(-0.036008,0)
(0.0634568,0)
(0.0420999,0)
(-0.116957,0)
(0.0387222,0)
(-0.314006,0)
(-0.0609682,0)
(-0.494404,0)
(-0.226865,0)
(-0.630251,0)
(-0.403553,0)
(-0.711182,0)
(-0.543977,0)
(-0.746247,0)
(-0.627819,0)
(-0.75513,0)
(-0.0517501,0)
(0.375125,0)
(-0.0319866,0)
(0.264453,0)
(-0.00782528,0)
(0.0831108,0)
(0.00914918,0)
(-0.153182,0)
(0.00841513,0)
(-0.411261,0)
(-0.0132496,0)
(-0.647531,0)
(-0.0493024,0)
(-0.825453,0)
(-0.0877005,0)
(-0.93145,0)
(-0.118217,0)
(-0.977376,0)
(-0.136438,0)
(-0.989009,0)
(0.151058,0)
(0.344735,0)
(0.0933684,0)
(0.243028,0)
(0.0228419,0)
(0.0763776,0)
(-0.0267063,0)
(-0.140772,0)
(-0.0245637,0)
(-0.377943,0)
(0.0386755,0)
(-0.595072,0)
(0.143913,0)
(-0.75858,0)
(0.255996,0)
(-0.855989,0)
(0.345075,0)
(-0.898194,0)
(0.398261,0)
(-0.908886,0)
(0.305906,0)
(0.204893,0)
(0.18908,0)
(0.144444,0)
(0.0462569,0)
(0.0453951,0)
(-0.0540828,0)
(-0.0836679,0)
(-0.0497437,0)
(-0.224631,0)
(0.0783215,0)
(-0.353682,0)
(0.291437,0)
(-0.450863,0)
(0.518416,0)
(-0.508758,0)
(0.698809,0)
(-0.533843,0)
(0.806515,0)
(-0.540197,0)
