beta_deg,top,top_norm,bottom,bottom_norm,left,left_norm,right,right_norm,front,front_norm,back,back_norm
0.0,-0.9490139763620565,-0.9490139763620565,-2.2936530717525945,-2.2936530717525945,5.3588545729506665,0.9989171309371028,4.46114929371158,1.0,5.358854572950666,1.0,4.461149293711584,0.9939311256861746
10.0,-0.9439231777012802,-0.9439231777012802,-2.288253821033935,-2.288253821033935,5.364663801414062,1.0,4.426712059880376,0.9922806363194914,5.333284799165554,0.9952285001511,4.482569387210252,0.9987034604012323
20.0,-0.9292648071696232,-0.9292648071696232,-2.272707298199084,-2.272707298199084,5.35001180586796,0.9972687951960307,4.383411324356109,0.9825744524028706,5.291038572146847,0.9873450566943678,4.4883887609735185,1.0
29.999999999999996,-0.9068068805877169,-0.9068068805877169,-2.24888864334416,-2.24888864334416,5.316665833215663,0.9910529401328472,4.33646979489379,0.9720521572784981,5.2372114103609695,0.977300529257931,4.477905512640734,0.9976643626719824
40.0,-0.8792581553450326,-0.8792581553450326,-2.2196707377705804,-2.2196707377705804,5.26864789989318,0.9821021586673198,4.2915493127297974,0.9619828950309172,5.17829566392357,0.9663064360920551,4.452384076677107,0.9919782607492755
50.0,-0.8499414142817214,-0.8499414142817214,-2.188577692100875,-2.188577692100875,5.211749677328385,0.9714960471436492,4.254067950968805,0.9535811672936666,5.1213974413587975,0.9556888270880767,4.414902714916112,0.9836275220416808
59.99999999999999,-0.8223926890390347,-0.8223926890390347,-2.1593597865272898,-2.1593597865272898,5.15283393089098,0.9605138591411363,4.228546515005161,0.9478603464281513,5.0733795080362825,0.9467283425910928,4.369982232752106,0.9736193688811103
70.0,-0.7999347624571287,-0.7999347624571287,-2.135541131672371,-2.135541131672371,5.099006769105083,0.9504802086127083,4.21806326667238,0.9455104478610807,5.040033535383986,0.9405057492741156,4.323040703289805,0.9631609322433446
80.0,-0.7852763919254744,-0.7852763919254744,-2.119994608837519,-2.119994608837519,5.05676054208641,0.942605301893011,4.223882640435651,0.94681490404045,5.025381539837909,0.937771583726867,4.27973996776553,0.9535136539369792
90.0,-0.7801855932646959,-0.7801855932646959,-2.1145953581188603,-2.1145953581188603,5.031190768301297,0.9378389689536806,4.245302733934326,0.9516163782993072,5.031190768301299,0.938855626666325,4.245302733934326,0.9458411381044303
